Student,SIS Login ID,Section,wk2AttendPercent,wk3AttendPercent,wk4AttendPercent,wk5AttendPercent,wk6AttendPercent,wk7AttendPercent,wk8AttendPercent,wk9AttendPercent,wk10AttendPercent,PercentAttendedTotal,TotalExamPercent,TotalNonExamPercent,FinalPercent
    Points Possible,,,100,100,100,100,100,100,100,100,100,100.00,100,100,104
,6eenuun,AA,100,100,100,100,100,100,100,100,100,100.00,82.5,99.1958042,93.46
,mumhnhh6,AA,100,100,100,100,100,100,100,100,100,100.00,76.5,98.31818182,89.6
,3umep7m,AA,100,100,100,100,100,75,100,100,100,96.67,64.25,95.04195804,81.09
,en2nnpem,AA,100,100,100,100,100,100,100,100,100,100.00,70.5,98.35664336,86.11
,8uhump,AA,100,100,100,66.67,100,75,100,100,75,90.00,79.5,91.66433566,88.57
,n92uum,AA,100,100,100,100,100,100,100,75,100,96.67,86.75,96.83216783,94.95
,uunu8mi,AA,100,100,100,100,75,100,0,75,0,76.67,68.75,75.96853147,75.76
,uu82puen,AA,100,100,100,100,75,100,100,100,100,96.67,85.25,95.30769231,93.44
,8un5p27,AA,75,100,100,100,100,100,100,100,100,96.67,75.75,95.78671329,88.1
,2u9n26nn,AA,100,100,75,100,100,75,100,75,75,86.67,62.25,91.62937063,78.5
,nhu6u7u8,AA,100,100,100,100,100,75,100,100,100,96.67,89,98.02097902,96.76
,mu7mnhea,AA,0,0,0,0,0,0,0,0,0,0.00,58.5,44.0034965,56.46
,8pmuum,AA,0,0,100,0,0,0,0,0,0,13.33,8.5,18.38111888,16.62
,mu9m00i,AA,100,100,100,100,0,100,100,100,100,86.67,82,92.74125874,90.48
,uhu7,AA,100,50,75,100,0,75,0,25,0,50.00,72.25,71.35664336,75.88
,jnu6ui0i,AA,100,100,100,66.67,75,75,100,50,100,83.33,83,85.05944056,87.86
,uu5ph6e,AA,100,100,100,100,100,100,100,100,100,100.00,77,94.73076923,88.39
,auna9p,AA,75,100,75,100,100,50,100,100,100,86.67,80.5,90.84615385,88.81
,munhe,AA,100,100,100,100,100,100,100,100,100,100.00,86.5,98.63636364,95.56
,mun6e7n4,AA,100,100,100,100,100,100,100,100,100,100.00,86.5,98.3041958,95.42
,7um27h6,AA,75,100,100,100,100,50,100,25,75,76.67,74.25,89.73776224,84.71
,munu9ue5,AA,100,100,100,100,100,100,100,100,75,96.67,65.5,70.94055944,71.77
,7umne60i,AA,100,100,100,100,100,75,0,100,100,93.33,61.25,69.12587413,68.53
,mup2pmn,AB,75,100,75,100,100,50,100,75,100,83.33,80.25,91.63986014,89
,uup7n,AB,100,100,100,100,100,100,100,100,75,96.67,70.25,89.87062937,82.43
,u222u6m7,AB,100,100,100,100,100,100,100,100,100,100.00,76.75,97.0034965,89.19
,2uu8m,AB,75,100,100,100,100,100,100,100,75,93.33,78.5,94.34615385,89.11
,u2m77,AB,100,100,100,100,75,50,100,25,50,73.33,52,71.8951049,64.29
,8u6hum,AB,75,100,25,66.67,100,75,0,75,75,70.00,49,64.77272727,59.58
,np3mu7ne,AB,75,100,100,66.67,75,100,100,100,100,90.00,70.25,86.85314685,81.17
,a97e2mm4,AB,100,100,100,100,100,100,100,100,100,100.00,70.25,97.83216783,85.75
,u7pmmm1,AB,100,100,100,100,100,75,100,100,75,93.33,77.5,94.31818182,88.51
,7munne4,AB,100,100,100,100,100,100,100,100,100,100.00,85.25,96.82167832,94.07
,9munne6i,AB,0,0,0,0,0,0,0,0,0,0.00,0,4.475524476,5.87
,4munnhmn,AB,75,100,100,100,100,100,100,100,100,96.67,87.25,95.45804196,94.67
,m2upn2nn,AB,100,100,100,100,100,100,0,100,100,96.67,55,93.46853147,75.04
,mm27mmp,AB,50,100,0,66.67,75,25,0,75,100,56.67,63.75,63.42657343,67.62
,6m27pn,AB,100,100,100,100,100,100,100,100,100,100.00,84.75,96.20629371,93.53
,meehu6i,AB,100,100,100,100,100,100,100,100,100,100.00,67.75,98.93706294,84.75
,8m2n29e,AB,100,100,100,100,100,75,100,100,75,93.33,70.5,88.61888112,82.05
,m2m9u9n,AB,75,100,100,0,100,100,0,0,100,70.00,62.25,78.67832168,73.1
,mu8npm,AB,25,100,100,66.67,75,75,100,100,100,80.00,60.75,85.1958042,74.94
,2m2mn2,AB,100,100,25,66.67,75,75,0,25,0,53.33,38.75,47.84265734,46.54
,586m,AB,100,100,100,100,100,100,100,100,75,96.67,77,93.71328671,87.97
,muim7uau,AB,100,100,100,100,100,100,100,100,100,100.00,81.25,94.36363636,90.72
,nnn24mm1,AB,100,100,100,100,100,100,100,100,75,96.67,82.75,95.48251748,92.06
,men72nmm,AB,100,100,100,100,100,100,100,100,100,100.00,68.25,87.84615385,80.42
