UWNetID,Pronouns,Credits,Class,Major
6eenuun,,5,FRESHMAN,PreSciences
mumhnhh6,,5,JUNIOR,PreSciences
3umep7m,,5,FRESHMAN,PreHealthSciences
en2nnpem,,5,JUNIOR,ComputerScience
8uhump,,5,JUNIOR,EnvironmentalEngineering
n92uum,,5,JUNIOR,Biochemistry
uunu8mi,,5,JUNIOR,Chemistry
uu82puen,,5,SOPHOMORE,ComputerScience
8un5p27,,5,FRESHMAN,PreMajor(Arts&Sciences)
2u9n26nn,,5,SENIOR,CivilEngineering
nhu6u7u8,,5,SOPHOMORE,Chemistry
mu7mnhea,,5,SOPHOMORE,PreMajor(Arts&Sciences)
8pmuum,,5,JUNIOR,EnSc&TrRsMgt:NatRes&EnvMgmt
mu9m00i,,5,JUNIOR,PreHealthSciences
uhu7,,5,JUNIOR,EnvirScience&TerrestrialResourceMgt
jnu6ui0i,,5,FRESHMAN,PreSciences
uu5ph6e,,5,SOPHOMORE,PreSciences
38ua7,,5,GRADUATE,InternationalStudies
auna9p,,5,JUNIOR,"Astronomy,Physics:ComprehensivePhysics"
munhe,,5,JUNIOR,"Anthropology:MedicalAnth&GlobalHlth,Biochemistry"
mun6e7n4,,5,SOPHOMORE,PreSciences
7um27h6,,5,SOPHOMORE,EnvirScience&TerrestrialResourceMgt
munu9ue5,,5,FRESHMAN,EnvirScience&TerrestrialResourceMgt
7umne60i,,5,FRESHMAN,AquaticandFisherySciences
mup2pmn,,5,SOPHOMORE,EnvironmentalStudies
uup7n,,5,SOPHOMORE,EnvironmentalStudies
u222u6m7,,5,SOPHOMORE,AquaticandFisherySciences
2uu8m,,5,SOPHOMORE,PreSciences
u2m77,,5,FRESHMAN,PreSocialSciences
8u6hum,,5,SOPHOMORE,PreNursing
np3mu7ne,,5,SOPHOMORE,PreHealthSciences
mmu6npme,,5,FRESHMAN,MarineBiology
a97e2mm4,,5,SOPHOMORE,PrePublicHealth
u7pmmm1,,5,SOPHOMORE,AquaticandFisherySciences
7munne4,,5,JUNIOR,PreSciences
9munne6i,,5,FRESHMAN,Premajor(TacomaCampus)
4munnhmn,,5,JUNIOR,PreMajor(Arts&Sciences)
m2upn2nn,,5,SENIOR,EnvironmentalStudies
mm27mmp,,5,FRESHMAN,PreSciences
6m27pn,,5,JUNIOR,PreSciences
meehu6i,,5,FRESHMAN,PreSciences
8m2n29e,,5,JUNIOR,PreSciences
m2m9u9n,,5,JUNIOR,PreSciences
mu8npm,,5,JUNIOR,CinemaandMediaStudies
2m2mn2,,5,SOPHOMORE,PreSciences
586m,,5,SOPHOMORE,PreHealthSciences
muim7uau,,5,SOPHOMORE,PreHealthSciences
nnn24mm1,,5,SOPHOMORE,EnvirScience&TerrestrialResourceMgt
men72nmm,,5,JUNIOR,EnvirScience&TerrestrialResourceMgt
8nme662n,,5,JUNIOR,EnvironmentalEngineering
m9n2pu04,,5,SOPHOMORE,PreHealthSciences
nmenhu,,5,JUNIOR,PreNursing
u6mnum,,5,FRESHMAN,PreSciences
nmn2p27,,5,SOPHOMORE,MarineBiology
u66humm,,5,SOPHOMORE,PreSciences
mne6eh62,,5,FRESHMAN,PreSocialSciences
m8m4a,,5,SOPHOMORE,PreSciences
8u28unpm,,5,FRESHMAN,EnvironmentalStudies
ihihmi5i,,5,JUNIOR,PreSciences
uuhnmph,,5,SOPHOMORE,PreSciences
n8uhmph,,5,FRESHMAN,AcademyforYoungScholars
hmpn22n,,5,FRESHMAN,PreSocialSciences
maaun8u6,,5,SOPHOMORE,PreMajor(Arts&Sciences)
42man,,5,SOPHOMORE,PreSocialSciences
6auem,,5,FRESHMAN,PreSciences
iaunu6,,5,SOPHOMORE,PreHealthSciences
u8m2nam4,,5,FRESHMAN,PreSciences
28aun62p,,5,SOPHOMORE,PreSciences
822u6am0,,5,JUNIOR,PreSocialSciences
ua2n2n7,,5,FRESHMAN,EnvirScience&TerrestrialResourceMgt
4a9u8m,,5,FRESHMAN,PreSciences
uua9u6a2,,5,FRESHMAN,PreSciences
ua9u6m2,,5,SOPHOMORE,PreSocialSciences
2a92m,,5,FRESHMAN,PreHealthSciences
ua92u6,,5,JUNIOR,PreSciences
7a926ie,,5,SOPHOMORE,PreSciences
ihia926,,5,SOPHOMORE,EnSc&TrRsMgt:WildlifeConservation
2a926m,,5,JUNIOR,Oceanography
ma5ii,,5,SOPHOMORE,PreMajor(Arts&Sciences)
n26pmn22,,5,JUNIOR,PreSciences
